BOX,PHASE,SUPPLIER,WAREHOUSE_STATUS,DATE,REMARKS,WAREHOUSE_UTILITY,METER NO.,METER MFG,IME,FINAL SIM,IMSI,IP,MFG_SERIAL_NUM,UDC_ID,NETWORK_ID,STATUS,"DECODE(D.ORG_ID,52,'SBPDCL',102,'NBPDCL')"
nan,1 Phase,L&T,Refurbished,2023-10-14,NOT MAP IN HES,NBPDCL,LT1051249,LNTLT1051249,868886068984114,8991856040706543986,405856707088995,2405:0203:0531:534B:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-10-14,NOT MAP IN HES,NBPDCL,LT0167874,LNTLT0167874,861190056676551,8991856050706077848,405856706077848,2405:0203:0522:AC0F:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-10-14,NOT MAP IN HES,NBPDCL,LT0181600,LNTLT0181600,861190056024307,8991856050706100660,405856706100660,2405:0203:0522:E1AD:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-10-14,NOT MAP IN HES,NBPDCL,LT0849847,LNTLT0849847,868886064672770,8991856040706604212,405856707149221,2405:0203:052D:E39F:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-10-14,NOT MAP IN HES,NBPDCL,LT0988031,LNTLT0988031,868886067642994,8991856040706467100,405856707012109,2405:0203:0530:2565:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-10-14,NOT MAP IN HES,NBPDCL,LT0977497,LNTLT0977497,861557061060700,8991856040707103739,405856707648734,2405:0203:0530:B4C2:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-10-14,NOT MAP IN HES,NBPDCL,LT0918354,LNTLT0918354,868886065125653,8991856040707090883,405856707635878,2405:0203:052F:22F3:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-10-14,NOT MAP IN HES,NBPDCL,LT0918691,LNTLT0918691,861557061320344,8991856040707091460,405856707636455,2405:0203:052F:2444:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-10-14,NOT MAP IN HES,NBPDCL,LT0602040,LNTLT0602040,865681061284395,8991856040706138185,405856706683207,2405:0203:0529:EA40:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-10-14,NOT MAP IN HES,NBPDCL,LT0418462,LNTLT0418462,865681060162725,8991856050706523446,405856706518446,2405:0203:0526:C93B:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-10-14,NOT MAP IN HES,NBPDCL,LT0333609,LNTLT0333609,869810055300562,8991856050706459673,405856706454673,2405:0203:0525:6EEB:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-10-14,NOT MAP IN HES,NBPDCL,LT0393029,LNTLT0393029,861557061034218,8991856040706260155,405856706805164,2405:0203:0526:2344:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-10-14,NOT MAP IN HES,NBPDCL,LT0251599,LNTLT0251599,869810058511231,8991856050706476142,405856706471142,2405:0203:0524:085B:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-10-14,NOT MAP IN HES,NBPDCL,LT0326007,LNTLT0326007,869810055786307,8991856050706423603,405856706418603,2405:0203:0525:9F59:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-10-14,NOT MAP IN HES,NBPDCL,LT0170165,LNTLT0170165,861190057030816,8991856050706078160,405856706078160,2405:0203:0522:B502:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-10-14,NOT MAP IN HES,NBPDCL,LT0439104,LNTLT0439104,865681061119989,8991856040706245647,405856706790657,2405:0203:0526:7CD4:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-10-14,NOT MAP IN HES,NBPDCL,LT0473564,LNTLT0473564,865681061231149,8991856040706227201,405856706772210,2405:0203:0527:6197:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-10-14,NOT MAP IN HES,NBPDCL,LT0338686,LNTLT0338686,869810051054791,8991856050706459164,405856706454164,2405:0203:0525:4828:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-10-14,NOT MAP IN HES,NBPDCL,LT0154463,LNTLT0154463,861190057188481,8991856050706125335,405856706125335,2405:0203:0522:77AC:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-10-14,NOT MAP IN HES,NBPDCL,LT0117738,LNTLT0117738,861190052694996,8991856050706231677,405856706231677,2405:0203:0521:D87E:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-10-14,NOT MAP IN HES,NBPDCL,LT0972332,LNTLT0972332,868886067363997,8991856040707102775,405856707647770,2405:0203:0530:0F53:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-10-14,NOT MAP IN HES,NBPDCL,LT0588240,LNTLT0588240,865681061604683,8991856040706116572,405856706661594,2405:0203:0529:4A98:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-10-14,NOT MAP IN HES,NBPDCL,LT0604579,LNTLT0604579,861557061334626,8991856040706170926,405856706715947,2405:0203:052A:58A0:0000:0000:0000:0010,,,,,
MS2S1423,1 Phase,L&T,Refurbished,2023-06-16,NOT MAP IN HES,NBPDCL,LT0347039,LNTLT0347039,869810056010897,8991856050706376051,405856706376051,2405:0203:0525:5541:0000:0000:0000:0010,,,,,
MS114,1 Phase,L&T,Refurbished,2023-06-22,NOT MAP IN HES,NBPDCL,LT0048504,LNTLT0048504,861089054495479,8991856050706213290,405856706213290,2405:0203:0520:B587:0000:0000:0000:0010,,,,,
K 878,1 Phase,L&T,Refurbished,2023-07-04,NOT MAP IN HES,NBPDCL,LT0247955,LNTLT0247955,869810056117940,8991856050706336686,405856706336686,2405:0203:0523:FA1F:0000:0000:0000:0010,,,,,
K 769,1 Phase,L&T,Refurbished,2023-07-04,NOT MAP IN HES,NBPDCL,LT0246696,LNTLT0246696,869810056024914,8991856050706339353,405856706339353,2405:0203:0523:F534:0000:0000:0000:0010,,,,,
K 838,1 Phase,L&T,Refurbished,2023-07-04,NOT MAP IN HES,NBPDCL,LT0239755,LNTLT0239755,869810055509055,8991856050706352118,405856706352118,2405:0203:0523:DA17:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-08-13,NOT MAP IN HES,NBPDCL,LT0313711,LNTLT0313711,869810058352271,8991856050706488856,405856706483856,2405:0203:0524:EF20:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-08-13,NOT MAP IN HES,NBPDCL,LT0905865,LNTLT0905865,860953065110057,8991856040707061936,405856707606931,2405:0203:052E:E469:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-08-17,NOT MAP IN HES,NBPDCL,LT0100434,LNTLT0100434,869810050448465,8991856050706172685,405856706172685,2405:0203:0521:9468:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-08-17,NOT MAP IN HES,NBPDCL,LT0201761,LNTLT0201761,869810053337954,8991856050706036775,405856706036775,2405:0203:0522:EC72:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-08-17,NOT MAP IN HES,NBPDCL,LT0202942,LNTLT0202942,869810051494765,8991856050706292506,405856706292506,2405:0203:0522:F10F:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-08-17,NOT MAP IN HES,NBPDCL,LT0217592,LNTLT0217592,869810055501656,8991856050706343386,405856706343386,2405:0203:0523:2A49:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-08-17,NOT MAP IN HES,NBPDCL,LT0288798,LNTLT0288798,869810058710056,8991856050706410850,405856706410850,2405:0203:0525:210B:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-08-17,NOT MAP IN HES,NBPDCL,LT0392721,LNTLT0392721,869810059083743,8991856040706260421,405856706805430,2405:0203:0526:2210:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-08-17,NOT MAP IN HES,NBPDCL,LT0665449,LNTLT0665449,860953069300852,8991856040706073562,405856706618584,2405:0203:052A:FF59:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-08-17,NOT MAP IN HES,NBPDCL,LT0836776,LNTLT0836776,860953066034124,8991856040706528774,405856707073783,2405:0203:052D:B091:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-08-17,NOT MAP IN HES,NBPDCL,LT0922610,LNTLT0922610,868886067508955,8991856040706821110,405856707366113,2405:0203:052F:3393:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-08-26,NOT MAP IN HES,NBPDCL,LT0078456,LNTLT0078456,861089058908428,8991856050706283075,405856706283075,2405:0203:0521:1B6E:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-08-26,NOT MAP IN HES,NBPDCL,LT0435674,LNTLT0435674,865681061701547,8991856040706313365,405856706858374,2405:0203:0526:A074:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-08-26,NOT MAP IN HES,NBPDCL,LT0663929,LNTLT0663929,860953069277290,8991856040706070416,405856706615438,2405:0203:052A:F969:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-09-04,NOT MAP IN HES,NBPDCL,LT0342853,LNTLT0342853,869810058450315,8991856050706371748,405856706371748,2405:0203:0525:7F7F:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-09-04,NOT MAP IN HES,NBPDCL,LT0410729,LNTLT0410729,865681060098564,8991856050706548124,405856706543124,2405:0203:0526:7022:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-09-11,NOT MAP IN HES,NBPDCL,LT0050314,LNTLT0050314,861089057983653,8991856050706092662,405856706092662,2405:0203:0520:BC99:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-09-11,NOT MAP IN HES,NBPDCL,LT0197012,LNTLT0197012,869810051097428,8991856050706303661,405856706303661,2405:0203:0523:9CE7:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-09-11,NOT MAP IN HES,NBPDCL,LT0240387,LNTLT0240387,861089058832206,8991856050706324027,405856706324027,2405:0203:0523:DC8F:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-09-11,NOT MAP IN HES,NBPDCL,LT0333800,LNTLT0333800,869810056020573,8991856050706458302,405856706453302,2405:0203:0525:6FAA:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-09-11,NOT MAP IN HES,NBPDCL,LT0390174,LNTLT0390174,869810058944234,8991856040706328046,405856706873055,2405:0203:0526:181D:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-09-11,NOT MAP IN HES,NBPDCL,LT0417928,LNTLT0417928,869810058551401,8991856050706511383,405856706506383,2405:0203:0526:C725:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-09-11,NOT MAP IN HES,NBPDCL,LT0627814,LNTLT0627814,860953060182853,8991856040706144409,405856706689431,2405:0203:052A:27AF:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-09-11,NOT MAP IN HES,NBPDCL,LT0733348,LNTLT0733348,865681069500909,8991856040706610234,405856707155243,2405:0203:052B:E9B6:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-09-11,NOT MAP IN HES,NBPDCL,LT0875645,LNTLT0875645,868886064949855,8991856040706683608,405856707228616,2405:0203:052E:4865:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-09-15,NOT MAP IN HES,NBPDCL,LT0011013,LNTLT0011013,866545057953355,8991856050706029605,405856706029605,2405:0203:0520:23FD:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-09-15,NOT MAP IN HES,NBPDCL,LT0042607,LNTLT0042607,861089054425377,8991856050706201222,405856706201222,2405:0203:0520:9E7E:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-09-15,NOT MAP IN HES,NBPDCL,LT0076355,LNTLT0076355,866545057937366,8991856050706288980,405856706288980,2405:0203:0521:1339:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-09-15,NOT MAP IN HES,NBPDCL,LT0079169,LNTLT0079169,861089058935462,8991856050706086274,405856706086274,2405:0203:0521:1E37:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-09-15,NOT MAP IN HES,NBPDCL,LT0093797,LNTLT0093797,869810050439894,8991856050706281548,405856706281548,2405:0203:0521:7AA3:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-09-15,NOT MAP IN HES,NBPDCL,LT0333906,LNTLT0333906,869810056230933,8991856050706499102,405856706494102,2405:0203:0525:7014:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-09-15,NOT MAP IN HES,NBPDCL,LT0475346,LNTLT0475346,865681061778958,8991856040706240703,405856706785713,2405:0203:0527:688D:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-09-15,NOT MAP IN HES,NBPDCL,LT0504012,LNTLT0504012,868886067659899,8991856040706424702,405856706969711,2405:0203:0527:9C2C:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-09-23,NOT MAP IN HES,NBPDCL,LT0099257,LNTLT0099257,869810050434390,8991856050706280609,405856706280609,2405:0203:0521:8FCF:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-09-23,NOT MAP IN HES,NBPDCL,LT0122002,LNTLT0122002,861190056070185,8991856050706030021,405856706030021,2405:0203:0521:FCC7:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-09-23,NOT MAP IN HES,NBPDCL,LT0147706,LNTLT0147706,861190057358803,8991856050706128728,405856706128728,2405:0203:0522:575F:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-09-23,NOT MAP IN HES,NBPDCL,LT0148572,LNTLT0148572,861190056977322,8991856050706313399,405856706313399,2405:0203:0522:5AC1:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-09-23,NOT MAP IN HES,NBPDCL,LT0149947,LNTLT0149947,861190057423193,8991856050706311471,405856706311471,2405:0203:0522:6020:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-09-23,NOT MAP IN HES,NBPDCL,LT0144646,LNTLT0144646,861190057297951,8991856050706126850,405856706126850,2405:0203:0522:4B6B:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-09-23,NOT MAP IN HES,NBPDCL,LT0156400,LNTLT0156400,861190057461466,8991856050706141750,405856706141750,2405:0203:0522:7F3D:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-09-23,NOT MAP IN HES,NBPDCL,LT0196552,LNTLT0196552,869810055524179,8991856050706303917,405856706303917,2405:0203:0523:9B1B:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-09-23,NOT MAP IN HES,NBPDCL,LT0213706,LNTLT0213706,869810055402707,8991856050706369605,405856706369605,2405:0203:0523:1B1B:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-09-23,NOT MAP IN HES,NBPDCL,LT0251462,LNTLT0251462,869810058782774,8991856050706478162,405856706473162,2405:0203:0524:07D2:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-09-23,NOT MAP IN HES,NBPDCL,LT0264233,LNTLT0264233,869810058593585,8991856050706392735,405856706392735,2405:0203:0524:4D3E:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-09-23,NOT MAP IN HES,NBPDCL,LT0279555,LNTLT0279555,869810059248171,8991856050706397464,405856706397464,2405:0203:0524:72F3:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-09-23,NOT MAP IN HES,NBPDCL,LT0280643,LNTLT0280643,869810059259889,8991856050706397997,405856706397997,2405:0203:0524:87CD:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-09-23,NOT MAP IN HES,NBPDCL,LT0293683,LNTLT0293683,869810055428835,8991856050706464660,405856706459660,2405:0203:0524:C7F4:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-09-23,NOT MAP IN HES,NBPDCL,LT0353780,LNTLT0353780,869810058428808,8991856050706372573,405856706372573,2405:0203:0525:161D:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-09-23,NOT MAP IN HES,NBPDCL,LT0390799,LNTLT0390799,869810059094427,8991856040706262327,405856706807336,2405:0203:0526:1A8E:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-09-23,NOT MAP IN HES,NBPDCL,LT0391634,LNTLT0391634,869810058675432,8991856040706262567,405856706807576,2405:0203:0526:1DD1:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-09-23,NOT MAP IN HES,NBPDCL,LT0436405,LNTLT0436405,865681060129872,8991856040706313873,405856706858882,2405:0203:0526:A34F:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-09-23,NOT MAP IN HES,NBPDCL,LT0422515,LNTLT0422515,869810058339781,8991856050706516551,405856706511551,2405:0203:0526:FC51:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-09-23,NOT MAP IN HES,NBPDCL,LT0444359,LNTLT0444359,865681062027066,8991856040706078325,405856706623347,2405:0203:0527:16C2:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-09-23,NOT MAP IN HES,NBPDCL,LT0464836,LNTLT0464836,865681062500419,8991856040706002063,405856706547085,2405:0203:0527:F8C4:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-09-23,NOT MAP IN HES,NBPDCL,LT0499222,LNTLT0499222,865681061315256,8991856040706204223,405856706749232,2405:0203:0528:1CF1:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-09-23,NOT MAP IN HES,NBPDCL,LT0471331,LNTLT0471331,865681061849387,8991856040706003735,405856706548757,2405:0203:0528:4D07:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-09-23,NOT MAP IN HES,NBPDCL,LT0458326,LNTLT0458326,865681061429214,8991856040706323331,405856706868340,2405:0203:0527:7495:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-09-23,NOT MAP IN HES,NBPDCL,LT0506336,LNTLT0506336,865681062341905,8991856040706420388,405856706965397,2405:0203:0527:A540:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-09-23,NOT MAP IN HES,NBPDCL,LT0482420,LNTLT0482420,865681061341377,8991856040706061452,405856706606474,2405:0203:0528:6FA5:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-09-23,NOT MAP IN HES,NBPDCL,LT0482709,LNTLT0482709,865681062561163,8991856040706353498,405856706898507,2405:0203:0528:70C6:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-09-23,NOT MAP IN HES,NBPDCL,LT0483756,LNTLT0483756,865681061806858,8991856040706352473,405856706897482,2405:0203:0528:74DD:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-09-23,NOT MAP IN HES,NBPDCL,LT0484216,LNTLT0484216,865681062522231,8991856040706061490,405856706606512,2405:0203:0528:76A9:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-09-23,NOT MAP IN HES,NBPDCL,LT0533216,LNTLT0533216,865681062084182,8991856040706056126,405856706601148,2405:0203:0528:E439:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-09-23,NOT MAP IN HES,NBPDCL,LT0535875,LNTLT0535875,865681062107231,8991856040706165932,405856706710953,2405:0203:0528:EE9C:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-09-23,NOT MAP IN HES,NBPDCL,LT0623781,LNTLT0623781,860953060278859,8991856040706124985,405856706670007,2405:0203:052A:17EE:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-09-23,NOT MAP IN HES,NBPDCL,LT0626998,LNTLT0626998,860953060259743,8991856040706141716,405856706686738,2405:0203:052A:247F:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-09-23,NOT MAP IN HES,NBPDCL,LT0607536,LNTLT0607536,865681061390648,8991856040706138927,405856706683949,2405:0203:052A:642D:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-09-23,NOT MAP IN HES,NBPDCL,LT0685181,LNTLT0685181,860953068884658,8991856040706281835,405856706826844,2405:0203:052B:4C6D:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-09-23,NOT MAP IN HES,NBPDCL,LT0691527,LNTLT0691527,865681069940030,8991856040706045988,405856706591010,2405:0203:052B:6539:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-09-23,NOT MAP IN HES,NBPDCL,LT0773569,LNTLT0773569,868886060750802,8991856040706649647,405856707194647,2405:0203:052C:86D3:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-09-23,NOT MAP IN HES,NBPDCL,LT0781304,LNTLT0781304,865681069244664,8991856040706705153,405856707250161,2405:0203:052C:A50A:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-09-23,NOT MAP IN HES,NBPDCL,LT0811686,LNTLT0811686,860953065562745,8991856040706456777,405856707001786,2405:0203:052D:4E8F:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-09-23,NOT MAP IN HES,NBPDCL,LT0845117,LNTLT0845117,868886064651873,8991856040706590625,405856707135634,2405:0203:052D:D126:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-09-23,NOT MAP IN HES,NBPDCL,LT0863682,LNTLT0863682,868886064649018,8991856040706650998,405856707195998,2405:0203:052E:19AA:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-09-23,NOT MAP IN HES,NBPDCL,LT0875434,LNTLT0875434,860953065233065,8991856040706511350,405856707056359,2405:0203:052E:4792:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-09-23,NOT MAP IN HES,NBPDCL,LT0893936,LNTLT0893936,868886064927091,8991856040706462696,405856707007705,2405:0203:052E:8FD9:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-09-23,NOT MAP IN HES,NBPDCL,LT1038358,LNTLT1038358,868886068513418,8991856040706941455,405856707486450,2405:0203:0531:26DE:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-09-23,NOT MAP IN HES,NBPDCL,LT0393635,LNTLT0393635,869810058834161,8991856040706260963,405856706805972,2405:0203:0526:25A2:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-09-23,NOT MAP IN HES,NBPDCL,LT0485519,LNTLT0485519,861557061343213,8991856040706060093,405856706605115,2405:0203:0528:7BC0:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-09-23,NOT MAP IN HES,NBPDCL,LT0748016,LNTLT0748016,860953069505237,8991856040706668442,405856707213442,2405:0203:052C:2302:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-09-23,NOT MAP IN HES,NBPDCL,LT1052401,LNTLT1052401,868886068642738,8991856040706544701,405856707089710,2405:0203:0531:57CB:0000:0000:0000:0010,,,,,
nan,1 Phase,L&T,Refurbished,2023-09-23,NOT MAP IN HES,NBPDCL,LT0156086,LNTLT0156086,861190057334713,8991856050706096165,405856706096165,2405:0203:0522:7E03:0000:0000:0000:0010,,,,,
