S.r,Meter No.,IME,Phase,WAREHOUSE_STATUS,FINAL SIM,WAREHOUSE_UTILITY,IMSI,IP,Make
22,LT1034538,868886068748782,1 Phase,S2S repaired,8991856040706550569,SBPDCL,405856707095578,2405:0203:0531:17F2:0000:0000:0000:0010,L&T
23,LT0195425,869810055249199,1 Phase,S2S repaired,8991856050706302705,SBPDCL,405856706302705,2405:0203:0523:96B4:0000:0000:0000:0010,L&T
24,LT0532463,865681062100079,1 Phase,S2S repaired,8991856040706057138,SBPDCL,405856706602160,2405:0203:0528:CEF4:0000:0000:0000:0010,L&T
25,LT0738769,860953069513504,1 Phase,S2S repaired,8991856040706607874,SBPDCL,405856707152883,2405:0203:052B:FEE3:0000:0000:0000:0010,L&T
26,LT0581757,865681062253910,1 Phase,S2S repaired,8991856040706110465,SBPDCL,405856706655487,2405:0203:0529:AEB7:0000:0000:0000:0010,L&T
27,LT0740952,868886060809509,1 Phase,S2S repaired,8991856040706698149,SBPDCL,405856707243157,2405:0203:052C:076A:0000:0000:0000:0010,L&T
28,LT0980761,865575062530881,1 Phase,S2S repaired,8991856040706838186,SBPDCL,405856707383189,2405:0203:0530:C182:0000:0000:0000:0010,L&T
29,LT0509420,865681061475829,1 Phase,S2S repaired,8991856040706031245,SBPDCL,405856706576267,2405:0203:0527:C4ED:0000:0000:0000:0010,L&T
30,LT0621513,865575064950285,1 Phase,S2S repaired,8991856040706127199,SBPDCL,405856706672221,2405:0203:052A:3654:0000:0000:0000:0010,L&T
31,LT0588924,865681061232741,1 Phase,S2S repaired,8991856040706111723,SBPDCL,405856706656745,2405:0203:0529:4D44:0000:0000:0000:0010,L&T
32,LT0619691,861996078361067,1 Phase,S2S repaired,8991856040706181274,SBPDCL,405856706726283,2405:0203:052A:2F36:0000:0000:0000:0010,L&T
33,LT0811988,860953066028258,1 Phase,S2S repaired,8991856040706459239,SBPDCL,405856707004248,2405:0203:052D:4FBD:0000:0000:0000:0010,L&T
34,LT0812102,860953066051490,1 Phase,S2S repaired,8991856040706458716,SBPDCL,405856707003725,2405:0203:052D:502F:0000:0000:0000:0010,L&T
35,LT0724135,860953069413077,1 Phase,S2S repaired,8991856040706578846,SBPDCL,405856707123855,2405:0203:052D:0424:0000:0000:0000:0010,L&T
36,LT0731043,861996078323372,1 Phase,S2S repaired,8991856040706614084,SBPDCL,405856707159093,2405:0203:052B:E0B5:0000:0000:0000:0010,L&T
37,LT0252192,869810058884711,1 Phase,S2S repaired,8991856050706478402,SBPDCL,405856706473402,2405:0203:0524:0AAC:0000:0000:0000:0010,L&T
38,LT0255018,869810055354288,1 Phase,S2S repaired,8991856050706426649,SBPDCL,405856706421649,2405:0203:0524:15B6:0000:0000:0000:0010,L&T
39,LT0799661,860953065347717,1 Phase,S2S repaired,8991856040706730232,SBPDCL,405856707275235,2405:0203:052D:1F96:0000:0000:0000:0010,L&T
40,LT0583098,865681061576964,1 Phase,S2S repaired,8991856040706110775,SBPDCL,405856706655797,2405:0203:0529:B3F4:0000:0000:0000:0010,L&T
41,LT0971628,868886065363767,1 Phase,S2S repaired,8991856040706923513,SBPDCL,405856707468518,2405:0203:0530:0C93:0000:0000:0000:0010,L&T
42,LT0390836,869810058803802,1 Phase,S2S repaired,8991856040706262275,SBPDCL,405856706807284,2405:0203:0526:1AB3:0000:0000:0000:0010,L&T
43,LT0457256,865681061871613,1 Phase,S2S repaired,8991856040706322909,SBPDCL,405856706867918,2405:0203:0527:7067:0000:0000:0000:0010,L&T
44,LT0601328,865681061011574,1 Phase,S2S repaired,8991856040706136655,SBPDCL,405856706681677,2405:0203:0529:E778:0000:0000:0000:0010,L&T
45,LT0699421,865681069893940,1 Phase,S2S repaired,8991856040706564997,SBPDCL,405856707110006,2405:0203:052B:8C3F:0000:0000:0000:0010,L&T
46,LT0602476,865681061282092,1 Phase,S2S repaired,8991856040706172017,SBPDCL,405856706717038,2405:0203:0529:EBF4:0000:0000:0000:0010,L&T
47,LT0700463,860953068984607,1 Phase,S2S repaired,8991856040706567918,SBPDCL,405856707112927,2405:0203:052B:9051:0000:0000:0000:0010,L&T
48,LT0602603,865681061397437,1 Phase,S2S repaired,8991856040706139832,SBPDCL,405856706684854,2405:0203:0529:EC73:0000:0000:0000:0010,L&T
49,LT0602544,861996078340780,1 Phase,S2S repaired,8991856040706172173,SBPDCL,405856706717194,2405:0203:0529:EC38:0000:0000:0000:0010,L&T
50,LT0602689,865681060154722,1 Phase,S2S repaired,8991856040706139903,SBPDCL,405856706684925,2405:0203:0529:ECC9:0000:0000:0000:0010,L&T
51,LT0699948,860953068941243,1 Phase,S2S repaired,8991856040706565371,SBPDCL,405856707110380,2405:0203:052B:8E4E:0000:0000:0000:0010,L&T
52,LT0602632,865681062005757,1 Phase,S2S repaired,8991856040706139821,SBPDCL,405856706684843,2405:0203:0529:EC90:0000:0000:0000:0010,L&T
53,LT0602635,861996078361026,1 Phase,S2S repaired,8991856040706139814,SBPDCL,405856706684836,2405:0203:0529:EC93:0000:0000:0000:0010,L&T
54,LT0700147,861996078360911,1 Phase,S2S repaired,8991856040706567289,SBPDCL,405856707112298,2405:0203:052B:8F15:0000:0000:0000:0010,L&T
55,LT0602479,869810058741895,1 Phase,S2S repaired,8991856040706172011,SBPDCL,405856706717032,2405:0203:0529:EBF7:0000:0000:0000:0010,L&T
56,LT0599737,861996078358915,1 Phase,S2S repaired,8991856040706135215,SBPDCL,405856706680237,2405:0203:0529:DA21:0000:0000:0000:0010,L&T
57,LT0600190,865681062629036,1 Phase,S2S repaired,8991856040706171795,SBPDCL,405856706716816,2405:0203:0529:E306:0000:0000:0000:0010,L&T
58,LT0602595,869810059311045,1 Phase,S2S repaired,8991856040706139842,SBPDCL,405856706684864,2405:0203:0529:EC6B:0000:0000:0000:0010,L&T
59,LT0386239,869810058845605,1 Phase,S2S repaired,8991856040706146971,SBPDCL,405856706691993,2405:0203:0526:08BE:0000:0000:0000:0010,L&T
60,LT0801567,860953065888280,1 Phase,S2S repaired,8991856040706734651,SBPDCL,405856707279654,2405:0203:052D:2708:0000:0000:0000:0010,L&T
61,LT0045097,861089054368114,1 Phase,S2S repaired,8991856050706210711,SBPDCL,405856706210711,2405:0203:0520:A838:0000:0000:0000:0010,L&T
62,LT0463880,865681062500575,1 Phase,S2S repaired,8991856040706001036,SBPDCL,405856706546058,2405:0203:0527:F508:0000:0000:0000:0010,L&T
63,LT0636706,860953060272720,1 Phase,S2S repaired,8991856040706307692,SBPDCL,405856706852701,2405:0203:052A:879B:0000:0000:0000:0010,L&T
64,LT0636573,860953060356416,1 Phase,S2S repaired,8991856040706309532,SBPDCL,405856706854541,2405:0203:052A:8716:0000:0000:0000:0010,L&T
65,LT0780983,860953066186841,1 Phase,S2S repaired,8991856040706633780,SBPDCL,405856707178780,2405:0203:052C:A3C9:0000:0000:0000:0010,L&T
66,LT0789052,860953069031630,1 Phase,S2S repaired,8991856040706687563,SBPDCL,405856707232571,2405:0203:052C:C34E:0000:0000:0000:0010,L&T
67,LT0636041,860953060311460,1 Phase,S2S repaired,8991856040706308649,SBPDCL,405856706853658,2405:0203:052A:8502:0000:0000:0000:0010,L&T
68,LT0917730,860953064338444,1 Phase,S2S repaired,8991856040707037041,SBPDCL,405856707582036,2405:0203:052F:2083:0000:0000:0000:0010,L&T
69,LT0201110,869810055221008,1 Phase,S2S repaired,8991856050706039010,SBPDCL,405856706039010,2405:0203:0522:E72E:0000:0000:0000:0010,L&T
70,LT0467335,865681061777463,1 Phase,S2S repaired,8991856040706000674,SBPDCL,405856706545696,2405:0203:0528:3D6B:0000:0000:0000:0010,L&T
71,LT0783541,860953065390568,1 Phase,S2S repaired,8991856040706717473,SBPDCL,405856707262481,2405:0203:052C:ADC7:0000:0000:0000:0010,L&T
72,LT0920719,860953064891699,1 Phase,S2S repaired,8991856040707108115,SBPDCL,405856707653110,2405:0203:052F:2C30:0000:0000:0000:0010,L&T
73,LT0793755,860953065173444,1 Phase,S2S repaired,8991856040706717922,SBPDCL,405856707262930,2405:0203:052C:D5AD:0000:0000:0000:0010,L&T
74,LT0290838,869810050943390,1 Phase,S2S repaired,8991856050706382113,SBPDCL,405856706382113,2405:0203:0525:2903:0000:0000:0000:0010,L&T
75,LT0598983,865681062347316,1 Phase,S2S repaired,8991856040706136056,SBPDCL,405856706681078,2405:0203:0529:D72F:0000:0000:0000:0010,L&T
76,LT0421900,861996078317515,1 Phase,S2S repaired,8991856050706511201,SBPDCL,405856706506201,2405:0203:0526:F9EA:0000:0000:0000:0010,L&T
77,LT0036957,861089054461216,1 Phase,S2S repaired,8991856050706319582,SBPDCL,405856706319582,2405:0203:0520:9982:0000:0000:0000:0010,L&T
78,LT1032092,865575062757385,1 Phase,S2S repaired,8991856040706472178,SBPDCL,405856707017187,2405:0203:0531:0E64:0000:0000:0000:0010,L&T
79,LT0279379,869810058773377,1 Phase,S2S repaired,8991856050706398884,SBPDCL,405856706398884,2405:0203:0524:7243:0000:0000:0000:0010,L&T
80,LT0290979,869810056051255,1 Phase,S2S repaired,8991856050706382159,SBPDCL,405856706382159,2405:0203:0525:2990:0000:0000:0000:0010,L&T
81,LT0769299,861996078367627,1 Phase,S2S repaired,8991856040706436630,SBPDCL,405856706981639,2405:0203:052C:7625:0000:0000:0000:0010,L&T
82,LT0654123,861996078314116,1 Phase,S2S repaired,8991856040706374464,SBPDCL,405856706919473,2405:0203:052A:D31B:0000:0000:0000:0010,L&T
83,LT0625609,860953060459871,1 Phase,S2S repaired,8991856040706108859,SBPDCL,405856706653881,2405:0203:052A:1F12:0000:0000:0000:0010,L&T
84,LT0799797,860953065894932,1 Phase,S2S repaired,8991856040706730190,SBPDCL,405856707275193,2405:0203:052D:201E:0000:0000:0000:0010,L&T
85,LT0700315,860953069187283,1 Phase,S2S repaired,8991856040706567041,SBPDCL,405856707112050,2405:0203:052B:8FBD:0000:0000:0000:0010,L&T
86,LT0699901,860953069558640,1 Phase,S2S repaired,8991856040706565455,SBPDCL,405856707110464,2405:0203:052B:8E1F:0000:0000:0000:0010,L&T
87,LT0699937,860953069157484,1 Phase,S2S repaired,8991856040706565369,SBPDCL,405856707110378,2405:0203:052B:8E43:0000:0000:0000:0010,L&T
88,LT0800814,860953065333212,1 Phase,S2S repaired,8991856040706732541,SBPDCL,405856707277544,2405:0203:052D:2417:0000:0000:0000:0010,L&T
89,LT0327798,869810055564480,1 Phase,S2S repaired,8991856050706334711,NBPDCL,405856706334711,2405:0203:0525:3128:0000:0000:0000:0010,L&T
90,LT0617596,860953060750378,1 Phase,S2S repaired,8991856040706105948,NBPDCL,405856706650970,2405:0203:052A:1363:0000:0000:0000:0010,L&T
91,LT0224313,869810051101972,1 Phase,S2S repaired,8991856050706325923,NBPDCL,405856706325923,2405:0203:0523:448A:0000:0000:0000:0010,L&T
92,LT0208924,869810055374260,1 Phase,S2S repaired,8991856050706345844,NBPDCL,405856706345844,2405:0203:0523:086D:0000:0000:0000:0010,L&T
93,LT1060493,868886068833378,1 Phase,S2S repaired,8991856040707056504,NBPDCL,405856707601499,2405:0203:0531:7F41:0000:0000:0000:0010,L&T
94,LT0089617,861089058873218,1 Phase,S2S repaired,8991856050706248899,NBPDCL,405856706248899,2405:0203:0521:4707:0000:0000:0000:0010,L&T
95,LT1060257,868886068807661,1 Phase,S2S repaired,8991856040707056260,NBPDCL,405856707601255,2405:0203:0531:7E55:0000:0000:0000:0010,L&T
96,LT0227869,869810055512174,1 Phase,S2S repaired,8991856050706325052,NBPDCL,405856706325052,2405:0203:0523:526E:0000:0000:0000:0010,L&T
97,LT0383302,869810058430978,1 Phase,S2S repaired,8991856040706147817,NBPDCL,405856706692839,2405:0203:0525:FD45:0000:0000:0000:0010,L&T
98,LT0950021,868886065497391,1 Phase,S2S repaired,8991856040706493615,NBPDCL,405856707038624,2405:0203:052F:B82C:0000:0000:0000:0010,L&T
99,LT0521711,865681062412151,1 Phase,S2S repaired,8991856040706025754,NBPDCL,405856706570776,2405:0203:0527:5960:0000:0000:0000:0010,L&T
100,LT0382233,869810058413669,1 Phase,S2S repaired,8991856040706253676,NBPDCL,405856706798685,2405:0203:0525:F918:0000:0000:0000:0010,L&T
101,LT0517294,865681061979622,1 Phase,S2S repaired,8991856040706028879,NBPDCL,405856706573901,2405:0203:0527:481F:0000:0000:0000:0010,L&T
102,LT0900449,860953064750473,1 Phase,S2S repaired,8991856040706778960,NBPDCL,405856707323963,2405:0203:052E:CF41:0000:0000:0000:0010,L&T
103,LT0383157,869810058873490,1 Phase,S2S repaired,8991856040706147540,NBPDCL,405856706692562,2405:0203:0525:FCB4:0000:0000:0000:0010,L&T
104,LT0092446,866545057928753,1 Phase,S2S repaired,8991856050706138421,NBPDCL,405856706138421,2405:0203:0521:755C:0000:0000:0000:0010,L&T
105,LT0176136,861190057035229,1 Phase,S2S repaired,8991856050706107958,NBPDCL,405856706107958,2405:0203:0522:CC55:0000:0000:0000:0010,L&T
106,LT0454785,865681061658366,1 Phase,S2S repaired,8991856040706323732,NBPDCL,405856706868741,2405:0203:0528:33A7:0000:0000:0000:0010,L&T
107,LT0522103,865681062619599,1 Phase,S2S repaired,8991856040706027325,NBPDCL,405856706572347,2405:0203:0527:5AE8:0000:0000:0000:0010,L&T
108,LT0225953,869810055226841,1 Phase,S2S repaired,8991856050706332453,NBPDCL,405856706332453,2405:0203:0523:4AF2:0000:0000:0000:0010,L&T
109,LT1022147,868886068683815,1 Phase,S2S repaired,8991856040706799151,NBPDCL,405856707344154,2405:0203:0530:9708:0000:0000:0000:0010,L&T
110,LT0381201,869810058555428,1 Phase,S2S repaired,8991856040706149922,NBPDCL,405856706694944,2405:0203:0525:F510:0000:0000:0000:0010,L&T
111,LT0597286,865575064941433,1 Phase,S2S repaired,8991856040706335944,NBPDCL,405856706880953,2405:0203:0528:D864:0000:0000:0000:0010,L&T
112,LT0574828,865681062638342,1 Phase,S2S repaired,8991856040706118873,NBPDCL,405856706663895,2405:0203:0529:93A6:0000:0000:0000:0010,L&T
113,LT0223795,869810055412508,1 Phase,S2S repaired,8991856050706327440,NBPDCL,405856706327440,2405:0203:0523:4284:0000:0000:0000:0010,L&T
114,LT0058467,861089055045265,1 Phase,S2S repaired,8991856050706041403,NBPDCL,405856706041403,2405:0203:0520:DC72:0000:0000:0000:0010,L&T
115,LT0520404,865681062010781,1 Phase,S2S repaired,8991856040706029415,NBPDCL,405856706574437,2405:0203:0527:5445:0000:0000:0000:0010,L&T
116,LT0184498,869810051483594,1 Phase,S2S repaired,8991856050706069250,NBPDCL,405856706069250,2405:0203:0523:6C05:0000:0000:0000:0010,L&T
117,LT0825497,860953066062091,1 Phase,S2S repaired,8991856040706487952,NBPDCL,405856707032961,2405:0203:052D:8482:0000:0000:0000:0010,L&T
118,LT0454791,865681061067139,1 Phase,S2S repaired,8991856040706323775,NBPDCL,405856706868784,2405:0203:0528:33AD:0000:0000:0000:0010,L&T
119,LT0175028,861190057226182,1 Phase,S2S repaired,8991856050706079395,NBPDCL,405856706079395,2405:0203:0522:C801:0000:0000:0000:0010,L&T
120,LT0176978,861190057402429,1 Phase,S2S repaired,8991856050706107247,NBPDCL,405856706107247,2405:0203:0522:CF9F:0000:0000:0000:0010,L&T
121,LT0227162,869810051087437,1 Phase,S2S repaired,8991856050706326396,NBPDCL,405856706326396,2405:0203:0523:4FAB:0000:0000:0000:0010,L&T
122,LT0454132,865681061979689,1 Phase,S2S repaired,8991856040706320431,NBPDCL,405856706865440,2405:0203:0528:311A:0000:0000:0000:0010,L&T
123,LT0223530,869810051057745,1 Phase,S2S repaired,8991856050706327004,NBPDCL,405856706327004,2405:0203:0523:417B:0000:0000:0000:0010,L&T
124,LT0382805,869810059242711,1 Phase,S2S repaired,8991856040706148734,NBPDCL,405856706693756,2405:0203:0525:FB54:0000:0000:0000:0010,L&T
125,LT0284636,869810058552524,1 Phase,S2S repaired,8991856050706450924,NBPDCL,405856706445924,2405:0203:0524:5EC2:0000:0000:0000:0010,L&T
126,LT0210481,869810051159707,1 Phase,S2S repaired,8991856050706357785,NBPDCL,405856706357785,2405:0203:0523:0E82:0000:0000:0000:0010,L&T
127,LT0212090,869810051481572,1 Phase,S2S repaired,8991856050706345344,NBPDCL,405856706345344,2405:0203:0523:14CB:0000:0000:0000:0010,L&T
128,LT0381713,869810059181943,1 Phase,S2S repaired,8991856040706147162,NBPDCL,405856706692184,2405:0203:0525:F710:0000:0000:0000:0010,L&T
129,LT0212088,869810051512921,1 Phase,S2S repaired,8991856050706345064,NBPDCL,405856706345064,2405:0203:0523:14C9:0000:0000:0000:0010,L&T
130,LT0110217,861190054484818,1 Phase,S2S repaired,8991856050706173753,NBPDCL,405856706173753,2405:0203:0521:A928:0000:0000:0000:0010,L&T
131,LT0224008,869810051028399,1 Phase,S2S repaired,8991856050706325570,NBPDCL,405856706325570,2405:0203:0523:4359:0000:0000:0000:0010,L&T
132,LT0383390,869810058365372,1 Phase,S2S repaired,8991856040706148119,NBPDCL,405856706693141,2405:0203:0525:FD9D:0000:0000:0000:0010,L&T
133,LT1060495,868886069004979,1 Phase,S2S repaired,8991856040707056714,NBPDCL,405856707601709,2405:0203:0531:7F43:0000:0000:0000:0010,L&T
134,LT0383303,869810058747116,1 Phase,S2S repaired,8991856040706147872,NBPDCL,405856706692894,2405:0203:0525:FD46:0000:0000:0000:0010,L&T
135,LT0901182,860953064621914,1 Phase,S2S repaired,8991856040706776878,NBPDCL,405856707321881,2405:0203:052E:D21E:0000:0000:0000:0010,L&T
136,LT0899858,860953064516213,1 Phase,S2S repaired,8991856040706776497,NBPDCL,405856707321500,2405:0203:052E:CCF2:0000:0000:0000:0010,L&T
137,LT0738036,860953068763068,1 Phase,S2S repaired,8991856040706431529,NBPDCL,405856706976538,2405:0203:052B:FC06:0000:0000:0000:0010,L&T
138,LT1043013,865575062723510,1 Phase,S2S repaired,8991856040706470574,NBPDCL,405856707015583,2405:0203:0531:390D:0000:0000:0000:0010,L&T
139,LT1030518,868886068697831,1 Phase,S2S repaired,8991856040706471707,NBPDCL,405856707016716,2405:0203:0530:FA77:0000:0000:0000:0010,L&T
140,LT0753106,860953069200219,1 Phase,S2S repaired,8991856040706608842,NBPDCL,405856707153851,2405:0203:052C:36E4:0000:0000:0000:0010,L&T
141,LT1040882,865575062885947,1 Phase,S2S repaired,8991856040706944102,NBPDCL,405856707489097,2405:0203:0531:30BA:0000:0000:0000:0010,L&T
142,LT0192099,869810053387595,1 Phase,S2S repaired,8991856050706347782,NBPDCL,405856706347782,2405:0203:0523:89B6:0000:0000:0000:0010,L&T
143,LT0597820,869810056122767,1 Phase,S2S repaired,8991856040706337417,NBPDCL,405856706882426,2405:0203:0528:DA7A:0000:0000:0000:0010,L&T
144,LT0787586,860953069313525,1 Phase,S2S repaired,8991856040706655478,NBPDCL,405856707200478,2405:0203:052C:BD94:0000:0000:0000:0010,L&T
145,LT0361930,861996077251111,1 Phase,S2S repaired,8991856050706379537,NBPDCL,405856706379537,2405:0203:0525:BD51:0000:0000:0000:0010,L&T
146,LT0595500,865575064701332,1 Phase,S2S repaired,8991856040706335366,NBPDCL,405856706880375,2405:0203:0528:D16A:0000:0000:0000:0010,L&T
147,LT0190157,869810051585836,1 Phase,S2S repaired,8991856050706066146,NBPDCL,405856706066146,2405:0203:0523:8220:0000:0000:0000:0010,L&T
148,LT0136070,861190057170232,1 Phase,S2S repaired,8991856050706118522,NBPDCL,405856706118522,2405:0203:0522:29EB:0000:0000:0000:0010,L&T
149,LT0750185,861996077248661,1 Phase,S2S repaired,8991856040706666622,NBPDCL,405856707211622,2405:0203:052C:2B7B:0000:0000:0000:0010,L&T
150,LT0361598,869810055547774,1 Phase,S2S repaired,8991856050706401192,NBPDCL,405856706401192,2405:0203:0525:BC05:0000:0000:0000:0010,L&T
151,LT0928922,868886067355860,1 Phase,S2S repaired,8991856040707093209,NBPDCL,405856707638204,2405:0203:052E:FE1B:0000:0000:0000:0010,L&T
152,LT0805044,860953065676560,1 Phase,S2S repaired,8991856040706561898,NBPDCL,405856707106907,2405:0203:052D:349D:0000:0000:0000:0010,L&T
153,LT0375665,865681060059608,1 Phase,S2S repaired,8991856040706120958,NBPDCL,405856706665980,2405:0203:0525:F2F8:0000:0000:0000:0010,L&T
154,LT0901347,860953065139288,1 Phase,S2S repaired,8991856040706776141,NBPDCL,405856707321144,2405:0203:052E:D2C3:0000:0000:0000:0010,L&T
155,LT0594109,869810058448327,1 Phase,S2S repaired,8991856040706338809,NBPDCL,405856706883818,2405:0203:0529:6185:0000:0000:0000:0010,L&T
156,LT0190159,869810051591693,1 Phase,S2S repaired,8991856050706066101,NBPDCL,405856706066101,2405:0203:0523:8222:0000:0000:0000:0010,L&T
157,LT0595738,865681061957958,1 Phase,S2S repaired,8991856040706338144,NBPDCL,405856706883153,2405:0203:0528:D258:0000:0000:0000:0010,L&T
158,LT0413267,865681060022408,1 Phase,S2S repaired,8991856050706503437,NBPDCL,405856706498437,2405:0203:0526:8DAD:0000:0000:0000:0010,L&T
159,LT0879940,868886064621454,1 Phase,S2S repaired,8991856040706556045,NBPDCL,405856707101054,2405:0203:052E:592C:0000:0000:0000:0010,L&T
160,LT0613703,860953060387700,1 Phase,S2S repaired,8991856040706175748,NBPDCL,405856706720757,2405:0203:052A:042E:0000:0000:0000:0010,L&T
161,LT0759472,868886060807479,1 Phase,S2S repaired,8991856040706669004,NBPDCL,405856707214004,2405:0203:052C:4FC2:0000:0000:0000:0010,L&T
162,LT0583720,865681062124848,1 Phase,S2S repaired,8991856040706116799,NBPDCL,405856706661821,2405:0203:0529:B662:0000:0000:0000:0010,L&T
163,LT0776863,865681069637495,1 Phase,S2S repaired,8991856040706430711,NBPDCL,405856706975720,2405:0203:052C:93B1:0000:0000:0000:0010,L&T
164,LT0554524,865681062174025,1 Phase,S2S repaired,8991856040706093032,NBPDCL,405856706638054,2405:0203:0529:1568:0000:0000:0000:0010,L&T
165,LT0555669,865681062871083,1 Phase,S2S repaired,8991856040706091642,NBPDCL,405856706636664,2405:0203:0529:19E1:0000:0000:0000:0010,L&T
166,LT0555667,861996077249842,1 Phase,S2S repaired,8991856040706091663,NBPDCL,405856706636685,2405:0203:0529:19DF:0000:0000:0000:0010,L&T
167,LT0385702,865681060054401,1 Phase,S2S repaired,8991856040706145460,NBPDCL,405856706690482,2405:0203:0526:06A5:0000:0000:0000:0010,L&T
168,LT0707669,860953069007762,1 Phase,S2S repaired,8991856040706574902,NBPDCL,405856707119911,2405:0203:052B:AC77:0000:0000:0000:0010,L&T
169,LT0778165,868886060759829,1 Phase,S2S repaired,8991856040706576749,NBPDCL,405856707121758,2405:0203:052C:98C7:0000:0000:0000:0010,L&T
170,LT0384220,869810058875040,1 Phase,S2S repaired,8991856040706146032,NBPDCL,405856706691054,2405:0203:0526:00DB:0000:0000:0000:0010,L&T
171,LT0553069,865681062813499,1 Phase,S2S repaired,8991856040706092492,NBPDCL,405856706637514,2405:0203:0529:0FB9:0000:0000:0000:0010,L&T
172,LT0675213,865681069270347,1 Phase,S2S repaired,8991856040706013072,NBPDCL,405856706558094,2405:0203:052B:257D:0000:0000:0000:0010,L&T
173,LT0270600,869810058733926,1 Phase,S2S repaired,8991856050706433301,NBPDCL,405856706428301,2405:0203:0525:B0CC:0000:0000:0000:0010,L&T
174,LT0759817,860953069514064,1 Phase,S2S repaired,8991856040706708769,NBPDCL,405856707253777,2405:0203:052C:511B:0000:0000:0000:0010,L&T
175,LT0946338,868886065520820,1 Phase,S2S repaired,8991856040706493122,NBPDCL,405856707038131,2405:0203:052F:A9C9:0000:0000:0000:0010,L&T
176,LT0330797,869810059280539,1 Phase,S2S repaired,8991856050706483786,NBPDCL,405856706478786,2405:0203:0525:3CDF:0000:0000:0000:0010,L&T
177,LT0587724,865681067113549,1 Phase,S2S repaired,8991856040706114208,NBPDCL,405856706659230,2405:0203:0529:C606:0000:0000:0000:0010,L&T
178,LT0271365,869810059054041,1 Phase,S2S repaired,8991856050706448274,NBPDCL,405856706443274,2405:0203:0525:B3C9:0000:0000:0000:0010,L&T
179,LT0268637,869810058949209,1 Phase,S2S repaired,8991856050706434122,NBPDCL,405856706429122,2405:0203:0525:A922:0000:0000:0000:0010,L&T
180,LT0554041,865681067150236,1 Phase,S2S repaired,8991856040706093120,NBPDCL,405856706638142,2405:0203:0529:1385:0000:0000:0000:0010,L&T
