S.R,METER NO.,IME,PHASE,WAREHOUSE_STATUS,FINAL SIM,WAREHOUSE_UTILITY,IMSI,IP,MAKE,MFG_SERIAL_NUM,METER_MATCH_UDC_ID,METER_MATCH_IP,INSTALLATIONNUMBER,METER_MATCH_STATUS,METER_MATCH_UTILITY,IMSI_MATCHED_METER_NO,IMSI_MATCHED_IP,IMSI_MATCHED_STATUS,IMSI_MATCHED_UTILITY,IP_MATCHED_METER_NO,IP_MATCH_UDC_ID,IP_MATCHED_IP,IP_MATCHED_STATUS,IP_MATCHED_UTILITY,SIM SET CHECK STATUS,METER_SIM,METER_ORG,SIM_ORG,METER_IP,SIM SET CHECK STATUS RECHECK,ACTION TAKEN,NEW_METER_NUMBER,Duplicated
11,LT1043271,861996078327217,1 Phase,S2S repaired,8991856040706470716,NBPDCL,405856707015725,2405:0203:0531:3A0F:0000:0000:0000:0010,L&T,LT1043271,405856707015725,2405:0203:0531:3A0F:0000:0000:0000:0010,5003004585,Retired,NBPDCL,LT1043271,2405:0203:0531:3A0F:0000:0000:0000:0010,Retired,NBPDCL,LT1043271,405856707015725,2405:0203:0531:3A0F:0000:0000:0000:0010,Retired,NBPDCL,SAME SET IN SAME UTILITY,True,True,True,True,SAME SET IN SAME UTILITY,METER-SIM LINK FILE REQUIRED,LNTLT1043271,Unique
12,LT0718643,860953069387099,1 Phase,S2S repaired,8991856040706721462,NBPDCL,405856707266465,2405:0203:052B:D755:0000:0000:0000:0010,L&T,LT0718643,405856707266465,2405:0203:052B:D755:0000:0000:0000:0010,PHUKPTN-326,Retired,NBPDCL,LT0718643,2405:0203:052B:D755:0000:0000:0000:0010,Retired,NBPDCL,LT0718643,405856707266465,2405:0203:052B:D755:0000:0000:0000:0010,Retired,NBPDCL,SAME SET IN SAME UTILITY,True,True,True,True,SAME SET IN SAME UTILITY,METER-SIM LINK FILE REQUIRED,LNTLT0718643,Unique
13,LT0644105,861996078323885,1 Phase,S2S repaired,8991856040706215416,NBPDCL,405856706760425,2405:0203:052A:90E1:0000:0000:0000:0010,L&T,LT0644105,405856706760425,2405:0203:052A:90E1:0000:0000:0000:0010,JANJPRB-4000,Retired,NBPDCL,LT0644105,2405:0203:052A:90E1:0000:0000:0000:0010,Retired,NBPDCL,LT0644105,405856706760425,2405:0203:052A:90E1:0000:0000:0000:0010,Retired,NBPDCL,SAME SET IN SAME UTILITY,True,True,True,True,SAME SET IN SAME UTILITY,METER-SIM LINK FILE REQUIRED,LNTLT0644105,Unique
14,LT0586010,861996077250535,1 Phase,S2S repaired,8991856040706113730,NBPDCL,405856706658752,2405:0203:0529:BF54:0000:0000:0000:0010,L&T,LT0586010,405856706658752,2405:0203:0529:BF54:0000:0000:0000:0010,JANJPB-4039,Retired,NBPDCL,LT0586010,2405:0203:0529:BF54:0000:0000:0000:0010,Retired,NBPDCL,LT0586010,405856706658752,2405:0203:0529:BF54:0000:0000:0000:0010,Retired,NBPDCL,SAME SET IN SAME UTILITY,True,True,True,True,SAME SET IN SAME UTILITY,METER-SIM LINK FILE REQUIRED,LNTLT0586010,Unique
15,LT0612504,861996078337745,1 Phase,S2S repaired,8991856040706175553,NBPDCL,405856706720562,2405:0203:0529:FF7F:0000:0000:0000:0010,L&T,LT0612504,405856706720562,2405:0203:0529:FF7F:0000:0000:0000:0010,JAYJAI3557,Retired,NBPDCL,LT0612504,2405:0203:0529:FF7F:0000:0000:0000:0010,Retired,NBPDCL,LT0612504,405856706720562,2405:0203:0529:FF7F:0000:0000:0000:0010,Retired,NBPDCL,SAME SET IN SAME UTILITY,True,True,True,True,SAME SET IN SAME UTILITY,METER-SIM LINK FILE REQUIRED,LNTLT0612504,Unique
16,LT0599205,869810055487419,1 Phase,S2S repaired,8991856040706135658,SBPDCL,405856706680680,2405:0203:0529:D80D:0000:0000:0000:0010,L&T,LT0599205,405856706680680,2405:0203:0529:D80D:0000:0000:0000:0010,5003882004,Installed,SBPDCL,LT0599205,2405:0203:0529:D80D:0000:0000:0000:0010,Installed,SBPDCL,LT0599205,405856706680680,2405:0203:0529:D80D:0000:0000:0000:0010,Installed,SBPDCL,SAME SET IN SAME UTILITY,True,True,True,True,SAME SET IN SAME UTILITY,SET IS IN INSTALLED STAGE,LNTLT0599205,Unique
17,LT0092190,866545057843408,1 Phase,S2S repaired,8991856050706137011,SBPDCL,405856706137011,2405:0203:0521:5114:0000:0000:0000:0010,L&T,LT0092190,405856706137011,2405:0203:0521:5114:0000:0000:0000:0010,5003748665,Installed,SBPDCL,LT0092190,2405:0203:0521:5114:0000:0000:0000:0010,Installed,SBPDCL,LT0092190,405856706137011,2405:0203:0521:5114:0000:0000:0000:0010,Installed,SBPDCL,SAME SET IN SAME UTILITY,True,True,True,True,SAME SET IN SAME UTILITY,SET IS IN INSTALLED STAGE,LNTLT0092190,Unique
18,LT0441851,865681061857026,1 Phase,S2S repaired,8991856040706249724,SBPDCL,405856706794734,2405:0203:0526:878F:0000:0000:0000:0010,L&T,LT0441851,405856706794734,2405:0203:0526:878F:0000:0000:0000:0010,5001942551,Retired,SBPDCL,LT0441851,2405:0203:0526:878F:0000:0000:0000:0010,Retired,SBPDCL,LT0441851,405856706794734,2405:0203:0526:878F:0000:0000:0000:0010,Retired,SBPDCL,SAME SET IN SAME UTILITY,True,True,True,True,SAME SET IN SAME UTILITY,METER-SIM LINK FILE REQUIRED,LNTLT0441851,Unique
19,LT0530480,865681062700480,1 Phase,S2S repaired,8991856040706056218,SBPDCL,405856706601240,2405:0203:0529:0BFA:0000:0000:0000:0010,L&T,LT0530480,405856706601240,2405:0203:0529:0BFA:0000:0000:0000:0010,5003839546,Retired,SBPDCL,LT0530480,2405:0203:0529:0BFA:0000:0000:0000:0010,Retired,SBPDCL,LT0530480,405856706601240,2405:0203:0529:0BFA:0000:0000:0000:0010,Retired,SBPDCL,SAME SET IN SAME UTILITY,True,True,True,True,SAME SET IN SAME UTILITY,METER-SIM LINK FILE REQUIRED,LNTLT0530480,Unique
20,LT0771623,868886060758946,1 Phase,S2S repaired,8991856040706648708,SBPDCL,405856707193708,2405:0203:052C:7F39:0000:0000:0000:0010,L&T,LT0771623,405856707193708,2405:0203:052C:7F39:0000:0000:0000:0010,5002167489,Retired,SBPDCL,LT0771623,2405:0203:052C:7F39:0000:0000:0000:0010,Retired,SBPDCL,LT0771623,405856707193708,2405:0203:052C:7F39:0000:0000:0000:0010,Retired,SBPDCL,SAME SET IN SAME UTILITY,True,True,True,True,SAME SET IN SAME UTILITY,METER-SIM LINK FILE REQUIRED,LNTLT0771623,Unique
21,LT0709883,860953069190857,1 Phase,S2S repaired,8991856040706623745,SBPDCL,405856707168754,2405:0203:052B:B51D:0000:0000:0000:0010,L&T,LT0709883,405856707168754,2405:0203:052B:B51D:0000:0000:0000:0010,5000938890,Retired,SBPDCL,LT0709883,2405:0203:052B:B51D:0000:0000:0000:0010,Retired,SBPDCL,LT0709883,405856707168754,2405:0203:052B:B51D:0000:0000:0000:0010,Retired,SBPDCL,SAME SET IN SAME UTILITY,True,True,True,True,SAME SET IN SAME UTILITY,METER-SIM LINK FILE REQUIRED,LNTLT0709883,Unique
22,LT1034538,868886068748782,1 Phase,S2S repaired,8991856040706550569,SBPDCL,405856707095578,2405:0203:0531:17F2:0000:0000:0000:0010,L&T,LT1034538,405856707095578,2405:0203:0531:17F2:0000:0000:0000:0010,52408510944,Retired,SBPDCL,LT1034538,2405:0203:0531:17F2:0000:0000:0000:0010,Retired,SBPDCL,LT1034538,405856707095578,2405:0203:0531:17F2:0000:0000:0000:0010,Retired,SBPDCL,SAME SET IN SAME UTILITY,True,True,True,True,SAME SET IN SAME UTILITY,METER-SIM LINK FILE REQUIRED,LNTLT1034538,Unique
23,LT0195425,869810055249199,1 Phase,S2S repaired,8991856050706302705,SBPDCL,405856706302705,2405:0203:0523:96B4:0000:0000:0000:0010,L&T,LT0195425,405856706302705,2405:0203:0523:96B4:0000:0000:0000:0010,5001497929,Retired,SBPDCL,LT0195425,2405:0203:0523:96B4:0000:0000:0000:0010,Retired,SBPDCL,LT0195425,405856706302705,2405:0203:0523:96B4:0000:0000:0000:0010,Retired,SBPDCL,SAME SET IN SAME UTILITY,True,True,True,True,SAME SET IN SAME UTILITY,METER-SIM LINK FILE REQUIRED,LNTLT0195425,Unique
24,LT0532463,865681062100079,1 Phase,S2S repaired,8991856040706057138,SBPDCL,405856706602160,2405:0203:0528:CEF4:0000:0000:0000:0010,L&T,LT0532463,405856706602160,2405:0203:0528:CEF4:0000:0000:0000:0010,5001114082,Retired,SBPDCL,LT0532463,2405:0203:0528:CEF4:0000:0000:0000:0010,Retired,SBPDCL,LT0532463,405856706602160,2405:0203:0528:CEF4:0000:0000:0000:0010,Retired,SBPDCL,SAME SET IN SAME UTILITY,True,True,True,True,SAME SET IN SAME UTILITY,METER-SIM LINK FILE REQUIRED,LNTLT0532463,Unique
25,LT0738769,860953069513504,1 Phase,S2S repaired,8991856040706607874,SBPDCL,405856707152883,2405:0203:052B:FEE3:0000:0000:0000:0010,L&T,LT0738769,405856707152883,2405:0203:052B:FEE3:0000:0000:0000:0010,5001073539,Retired,SBPDCL,LT0738769,2405:0203:052B:FEE3:0000:0000:0000:0010,Retired,SBPDCL,LT0738769,405856707152883,2405:0203:052B:FEE3:0000:0000:0000:0010,Retired,SBPDCL,SAME SET IN SAME UTILITY,True,True,True,True,SAME SET IN SAME UTILITY,METER-SIM LINK FILE REQUIRED,LNTLT0738769,Unique
26,LT0581757,865681062253910,1 Phase,S2S repaired,8991856040706110465,SBPDCL,405856706655487,2405:0203:0529:AEB7:0000:0000:0000:0010,L&T,LT0581757,405856706655487,2405:0203:0529:AEB7:0000:0000:0000:0010,5001056866,Retired,SBPDCL,LT0581757,2405:0203:0529:AEB7:0000:0000:0000:0010,Retired,SBPDCL,LT0581757,405856706655487,2405:0203:0529:AEB7:0000:0000:0000:0010,Retired,SBPDCL,SAME SET IN SAME UTILITY,True,True,True,True,SAME SET IN SAME UTILITY,METER-SIM LINK FILE REQUIRED,LNTLT0581757,Unique
27,LT0740952,868886060809509,1 Phase,S2S repaired,8991856040706698149,SBPDCL,405856707243157,2405:0203:052C:076A:0000:0000:0000:0010,L&T,LT0740952,405856707243157,2405:0203:052C:076A:0000:0000:0000:0010,5001116567,Retired,SBPDCL,LT0740952,2405:0203:052C:076A:0000:0000:0000:0010,Retired,SBPDCL,LT0740952,405856707243157,2405:0203:052C:076A:0000:0000:0000:0010,Retired,SBPDCL,SAME SET IN SAME UTILITY,True,True,True,True,SAME SET IN SAME UTILITY,METER-SIM LINK FILE REQUIRED,LNTLT0740952,Unique
28,LT0980761,865575062530881,1 Phase,S2S repaired,8991856040706838186,SBPDCL,405856707383189,2405:0203:0530:C182:0000:0000:0000:0010,L&T,LT0980761,405856707383189,2405:0203:0530:C182:0000:0000:0000:0010,5001041221,Retired,SBPDCL,LT0980761,2405:0203:0530:C182:0000:0000:0000:0010,Retired,SBPDCL,LT0980761,405856707383189,2405:0203:0530:C182:0000:0000:0000:0010,Retired,SBPDCL,SAME SET IN SAME UTILITY,True,True,True,True,SAME SET IN SAME UTILITY,METER-SIM LINK FILE REQUIRED,LNTLT0980761,Unique
29,LT0509420,865681061475829,1 Phase,S2S repaired,8991856040706031245,SBPDCL,405856706576267,2405:0203:0527:C4ED:0000:0000:0000:0010,L&T,LT0509420,405856706576267,2405:0203:0527:C4ED:0000:0000:0000:0010,5002387028,Retired,SBPDCL,LT0509420,2405:0203:0527:C4ED:0000:0000:0000:0010,Retired,SBPDCL,LT0509420,405856706576267,2405:0203:0527:C4ED:0000:0000:0000:0010,Retired,SBPDCL,SAME SET IN SAME UTILITY,True,True,True,True,SAME SET IN SAME UTILITY,METER-SIM LINK FILE REQUIRED,LNTLT0509420,Unique
30,LT0621513,865575064950285,1 Phase,S2S repaired,8991856040706127199,SBPDCL,405856706672221,2405:0203:052A:3654:0000:0000:0000:0010,L&T,LT0621513,405856706672221,2405:0203:052A:3654:0000:0000:0000:0010,5001614736,Retired,SBPDCL,LT0621513,2405:0203:052A:3654:0000:0000:0000:0010,Retired,SBPDCL,LT0621513,405856706672221,2405:0203:052A:3654:0000:0000:0000:0010,Retired,SBPDCL,SAME SET IN SAME UTILITY,True,True,True,True,SAME SET IN SAME UTILITY,METER-SIM LINK FILE REQUIRED,LNTLT0621513,Unique
31,LT0588924,865681061232741,1 Phase,S2S repaired,8991856040706111723,SBPDCL,405856706656745,2405:0203:0529:4D44:0000:0000:0000:0010,L&T,LT0588924,405856706656745,2405:0203:0529:4D44:0000:0000:0000:0010,5002987562,Retired,SBPDCL,LT0588924,2405:0203:0529:4D44:0000:0000:0000:0010,Retired,SBPDCL,LT0588924,405856706656745,2405:0203:0529:4D44:0000:0000:0000:0010,Retired,SBPDCL,SAME SET IN SAME UTILITY,True,True,True,True,SAME SET IN SAME UTILITY,METER-SIM LINK FILE REQUIRED,LNTLT0588924,Unique
32,LT0619691,861996078361067,1 Phase,S2S repaired,8991856040706181274,SBPDCL,405856706726283,2405:0203:052A:2F36:0000:0000:0000:0010,L&T,LT0619691,405856706726283,2405:0203:052A:2F36:0000:0000:0000:0010,5001091640,Retired,SBPDCL,LT0619691,2405:0203:052A:2F36:0000:0000:0000:0010,Retired,SBPDCL,LT0619691,405856706726283,2405:0203:052A:2F36:0000:0000:0000:0010,Retired,SBPDCL,SAME SET IN SAME UTILITY,True,True,True,True,SAME SET IN SAME UTILITY,METER-SIM LINK FILE REQUIRED,LNTLT0619691,Unique
33,LT0811988,860953066028258,1 Phase,S2S repaired,8991856040706459239,SBPDCL,405856707004248,2405:0203:052D:4FBD:0000:0000:0000:0010,L&T,LT0811988,405856707004248,2405:0203:052D:4FBD:0000:0000:0000:0010,523710452943,Retired,SBPDCL,LT0811988,2405:0203:052D:4FBD:0000:0000:0000:0010,Retired,SBPDCL,LT0811988,405856707004248,2405:0203:052D:4FBD:0000:0000:0000:0010,Retired,SBPDCL,SAME SET IN SAME UTILITY,True,True,True,True,SAME SET IN SAME UTILITY,METER-SIM LINK FILE REQUIRED,LNTLT0811988,Unique
34,LT0812102,860953066051490,1 Phase,S2S repaired,8991856040706458716,SBPDCL,405856707003725,2405:0203:052D:502F:0000:0000:0000:0010,L&T,LT0812102,405856707003725,2405:0203:052D:502F:0000:0000:0000:0010,RJLRJ10483,Retired,SBPDCL,LT0812102,2405:0203:052D:502F:0000:0000:0000:0010,Retired,SBPDCL,LT0812102,405856707003725,2405:0203:052D:502F:0000:0000:0000:0010,Retired,SBPDCL,SAME SET IN SAME UTILITY,True,True,True,True,SAME SET IN SAME UTILITY,METER-SIM LINK FILE REQUIRED,LNTLT0812102,Unique
35,LT0724135,860953069413077,1 Phase,S2S repaired,8991856040706578846,SBPDCL,405856707123855,2405:0203:052D:0424:0000:0000:0000:0010,L&T,LT0724135,405856707123855,2405:0203:052D:0424:0000:0000:0000:0010,52373425071,Retired,SBPDCL,LT0724135,2405:0203:052D:0424:0000:0000:0000:0010,Retired,SBPDCL,LT0724135,405856707123855,2405:0203:052D:0424:0000:0000:0000:0010,Retired,SBPDCL,SAME SET IN SAME UTILITY,True,True,True,True,SAME SET IN SAME UTILITY,METER-SIM LINK FILE REQUIRED,LNTLT0724135,Unique
36,LT0731043,861996078323372,1 Phase,S2S repaired,8991856040706614084,SBPDCL,405856707159093,2405:0203:052B:E0B5:0000:0000:0000:0010,L&T,LT0731043,405856707159093,2405:0203:052B:E0B5:0000:0000:0000:0010,5001055291,Retired,SBPDCL,LT0731043,2405:0203:052B:E0B5:0000:0000:0000:0010,Retired,SBPDCL,LT0731043,405856707159093,2405:0203:052B:E0B5:0000:0000:0000:0010,Retired,SBPDCL,SAME SET IN SAME UTILITY,True,True,True,True,SAME SET IN SAME UTILITY,METER-SIM LINK FILE REQUIRED,LNTLT0731043,Unique
37,LT0252192,869810058884711,1 Phase,S2S repaired,8991856050706478402,SBPDCL,405856706473402,2405:0203:0524:0AAC:0000:0000:0000:0010,L&T,LT0252192,405856706473402,2405:0203:0524:0AAC:0000:0000:0000:0010,5001058603,Retired,SBPDCL,LT0252192,2405:0203:0524:0AAC:0000:0000:0000:0010,Retired,SBPDCL,LT0252192,405856706473402,2405:0203:0524:0AAC:0000:0000:0000:0010,Retired,SBPDCL,SAME SET IN SAME UTILITY,True,True,True,True,SAME SET IN SAME UTILITY,METER-SIM LINK FILE REQUIRED,LNTLT0252192,Unique
38,LT0255018,869810055354288,1 Phase,S2S repaired,8991856050706426649,SBPDCL,405856706421649,2405:0203:0524:15B6:0000:0000:0000:0010,L&T,LT0255018,405856706421649,2405:0203:0524:15B6:0000:0000:0000:0010,5001062189,Retired,SBPDCL,LT0255018,2405:0203:0524:15B6:0000:0000:0000:0010,Retired,SBPDCL,LT0255018,405856706421649,2405:0203:0524:15B6:0000:0000:0000:0010,Retired,SBPDCL,SAME SET IN SAME UTILITY,True,True,True,True,SAME SET IN SAME UTILITY,METER-SIM LINK FILE REQUIRED,LNTLT0255018,Unique
39,LT0799661,860953065347717,1 Phase,S2S repaired,8991856040706730232,SBPDCL,405856707275235,2405:0203:052D:1F96:0000:0000:0000:0010,L&T,LT0799661,405856707275235,2405:0203:052D:1F96:0000:0000:0000:0010,5001683429,Retired,SBPDCL,LT0799661,2405:0203:052D:1F96:0000:0000:0000:0010,Retired,SBPDCL,LT0799661,405856707275235,2405:0203:052D:1F96:0000:0000:0000:0010,Retired,SBPDCL,SAME SET IN SAME UTILITY,True,True,True,True,SAME SET IN SAME UTILITY,METER-SIM LINK FILE REQUIRED,LNTLT0799661,Unique
40,LT0583098,865681061576964,1 Phase,S2S repaired,8991856040706110775,SBPDCL,405856706655797,2405:0203:0529:B3F4:0000:0000:0000:0010,L&T,LT0583098,405856706655797,2405:0203:0529:B3F4:0000:0000:0000:0010,5003892252,Installed,SBPDCL,LT0583098,2405:0203:0529:B3F4:0000:0000:0000:0010,Installed,SBPDCL,LT0583098,405856706655797,2405:0203:0529:B3F4:0000:0000:0000:0010,Installed,SBPDCL,SAME SET IN SAME UTILITY,True,True,True,True,SAME SET IN SAME UTILITY,SET IS IN INSTALLED STAGE,LNTLT0583098,Unique
41,LT0971628,868886065363767,1 Phase,S2S repaired,8991856040706923513,SBPDCL,405856707468518,2405:0203:0530:0C93:0000:0000:0000:0010,L&T,LT0971628,405856707468518,2405:0203:0530:0C93:0000:0000:0000:0010,5003839904,Retired,SBPDCL,LT0971628,2405:0203:0530:0C93:0000:0000:0000:0010,Retired,SBPDCL,LT0971628,405856707468518,2405:0203:0530:0C93:0000:0000:0000:0010,Retired,SBPDCL,SAME SET IN SAME UTILITY,True,True,True,True,SAME SET IN SAME UTILITY,METER-SIM LINK FILE REQUIRED,LNTLT0971628,Unique
42,LT0390836,869810058803802,1 Phase,S2S repaired,8991856040706262275,SBPDCL,405856706807284,2405:0203:0526:1AB3:0000:0000:0000:0010,L&T,LT0390836,405856706807284,2405:0203:0526:1AB3:0000:0000:0000:0010,5001013324,Retired,SBPDCL,LT0390836,2405:0203:0526:1AB3:0000:0000:0000:0010,Retired,SBPDCL,LT0390836,405856706807284,2405:0203:0526:1AB3:0000:0000:0000:0010,Retired,SBPDCL,SAME SET IN SAME UTILITY,True,True,True,True,SAME SET IN SAME UTILITY,METER-SIM LINK FILE REQUIRED,LNTLT0390836,Unique
43,LT0457256,865681061871613,1 Phase,S2S repaired,8991856040706322909,SBPDCL,405856706867918,2405:0203:0527:7067:0000:0000:0000:0010,L&T,LT0457256,405856706867918,2405:0203:0527:7067:0000:0000:0000:0010,5001048780,Retired,SBPDCL,LT0457256,2405:0203:0527:7067:0000:0000:0000:0010,Retired,SBPDCL,LT0457256,405856706867918,2405:0203:0527:7067:0000:0000:0000:0010,Retired,SBPDCL,SAME SET IN SAME UTILITY,True,True,True,True,SAME SET IN SAME UTILITY,METER-SIM LINK FILE REQUIRED,LNTLT0457256,Unique
44,LT0601328,865681061011574,1 Phase,S2S repaired,8991856040706136655,SBPDCL,405856706681677,2405:0203:0529:E778:0000:0000:0000:0010,L&T,LT0601328,405856706681677,2405:0203:0529:E778:0000:0000:0000:0010,RFGRF3432,Retired,SBPDCL,LT0601328,2405:0203:0529:E778:0000:0000:0000:0010,Retired,SBPDCL,LT0601328,405856706681677,2405:0203:0529:E778:0000:0000:0000:0010,Retired,SBPDCL,SAME SET IN SAME UTILITY,True,True,True,True,SAME SET IN SAME UTILITY,METER-SIM LINK FILE REQUIRED,LNTLT0601328,Unique
45,LT0699421,865681069893940,1 Phase,S2S repaired,8991856040706564997,SBPDCL,405856707110006,2405:0203:052B:8C3F:0000:0000:0000:0010,L&T,LT0699421,405856707110006,2405:0203:052B:8C3F:0000:0000:0000:0010,RFGRF4360,Retired,SBPDCL,LT0699421,2405:0203:052B:8C3F:0000:0000:0000:0010,Retired,SBPDCL,LT0699421,405856707110006,2405:0203:052B:8C3F:0000:0000:0000:0010,Retired,SBPDCL,SAME SET IN SAME UTILITY,True,True,True,True,SAME SET IN SAME UTILITY,METER-SIM LINK FILE REQUIRED,LNTLT0699421,Unique
